"Phage","Host","EOP","EOP_bin"
"8-1","37-1",0,"[0,2.22e-16)"
"8-2","37-1",0,"[0,2.22e-16)"
"8-3","37-1",0,"[0,2.22e-16)"
"8-4","37-1",0,"[0,2.22e-16)"
"8-5","37-1",0,"[0,2.22e-16)"
"8-6","37-1",0,"[0,2.22e-16)"
"8-7","37-1",0,"[0,2.22e-16)"
"8-8","37-1",0,"[0,2.22e-16)"
"8-9","37-1",0,"[0,2.22e-16)"
"8-10","37-1",0,"[0,2.22e-16)"
"8-11","37-1",0,"[0,2.22e-16)"
"15-1","37-1",0,"[0,2.22e-16)"
"15-2","37-1",0,"[0,2.22e-16)"
"15-3","37-1",0,"[0,2.22e-16)"
"15-4","37-1",0,"[0,2.22e-16)"
"15-5","37-1",0,"[0,2.22e-16)"
"15-6","37-1",0,"[0,2.22e-16)"
"15-7","37-1",0,"[0,2.22e-16)"
"15-8","37-1",0,"[0,2.22e-16)"
"15-9","37-1",0,"[0,2.22e-16)"
"15-10","37-1",0,"[0,2.22e-16)"
"15-11","37-1",0,"[0,2.22e-16)"
"22-1","37-1",0,"[0,2.22e-16)"
"22-2","37-1",0,"[0,2.22e-16)"
"22-3","37-1",0,"[0,2.22e-16)"
"22-4","37-1",0,"[0,2.22e-16)"
"22-5","37-1",0,"[0,2.22e-16)"
"22-6","37-1",0,"[0,2.22e-16)"
"22-7","37-1",0,"[0,2.22e-16)"
"22-8","37-1",0,"[0,2.22e-16)"
"22-9","37-1",0,"[0,2.22e-16)"
"22-10","37-1",0,"[0,2.22e-16)"
"22-11","37-1",0,"[0,2.22e-16)"
"28-1","37-1",0,"[0,2.22e-16)"
"28-2","37-1",0,"[0,2.22e-16)"
"28-3","37-1",0,"[0,2.22e-16)"
"28-4","37-1",0,"[0,2.22e-16)"
"28-5","37-1",0,"[0,2.22e-16)"
"28-6","37-1",0,"[0,2.22e-16)"
"28-7","37-1",0,"[0,2.22e-16)"
"28-8","37-1",0,"[0,2.22e-16)"
"28-9","37-1",0,"[0,2.22e-16)"
"28-10","37-1",0,"[0,2.22e-16)"
"28-11","37-1",0,"[0,2.22e-16)"
"8-1","37-2",0,"[0,2.22e-16)"
"8-2","37-2",0,"[0,2.22e-16)"
"8-3","37-2",0,"[0,2.22e-16)"
"8-4","37-2",0,"[0,2.22e-16)"
"8-5","37-2",0,"[0,2.22e-16)"
"8-6","37-2",0,"[0,2.22e-16)"
"8-7","37-2",0,"[0,2.22e-16)"
"8-8","37-2",0,"[0,2.22e-16)"
"8-9","37-2",0,"[0,2.22e-16)"
"8-10","37-2",0,"[0,2.22e-16)"
"8-11","37-2",0,"[0,2.22e-16)"
"15-1","37-2",0,"[0,2.22e-16)"
"15-2","37-2",0,"[0,2.22e-16)"
"15-3","37-2",0,"[0,2.22e-16)"
"15-4","37-2",0,"[0,2.22e-16)"
"15-5","37-2",0,"[0,2.22e-16)"
"15-6","37-2",0,"[0,2.22e-16)"
"15-7","37-2",0,"[0,2.22e-16)"
"15-8","37-2",0,"[0,2.22e-16)"
"15-9","37-2",0,"[0,2.22e-16)"
"15-10","37-2",0,"[0,2.22e-16)"
"15-11","37-2",0,"[0,2.22e-16)"
"22-1","37-2",0,"[0,2.22e-16)"
"22-2","37-2",0,"[0,2.22e-16)"
"22-3","37-2",0,"[0,2.22e-16)"
"22-4","37-2",0,"[0,2.22e-16)"
"22-5","37-2",0,"[0,2.22e-16)"
"22-6","37-2",0,"[0,2.22e-16)"
"22-7","37-2",0,"[0,2.22e-16)"
"22-8","37-2",0,"[0,2.22e-16)"
"22-9","37-2",0,"[0,2.22e-16)"
"22-10","37-2",0,"[0,2.22e-16)"
"22-11","37-2",0,"[0,2.22e-16)"
"28-1","37-2",0,"[0,2.22e-16)"
"28-2","37-2",0,"[0,2.22e-16)"
"28-3","37-2",0,"[0,2.22e-16)"
"28-4","37-2",0,"[0,2.22e-16)"
"28-5","37-2",0,"[0,2.22e-16)"
"28-6","37-2",0,"[0,2.22e-16)"
"28-7","37-2",0,"[0,2.22e-16)"
"28-8","37-2",0,"[0,2.22e-16)"
"28-9","37-2",0,"[0,2.22e-16)"
"28-10","37-2",0,"[0,2.22e-16)"
"28-11","37-2",0,"[0,2.22e-16)"
"8-1","37-3",0,"[0,2.22e-16)"
"8-2","37-3",0,"[0,2.22e-16)"
"8-3","37-3",0,"[0,2.22e-16)"
"8-4","37-3",0,"[0,2.22e-16)"
"8-5","37-3",0,"[0,2.22e-16)"
"8-6","37-3",0,"[0,2.22e-16)"
"8-7","37-3",0,"[0,2.22e-16)"
"8-8","37-3",0,"[0,2.22e-16)"
"8-9","37-3",0,"[0,2.22e-16)"
"8-10","37-3",0,"[0,2.22e-16)"
"8-11","37-3",0,"[0,2.22e-16)"
"15-1","37-3",0,"[0,2.22e-16)"
"15-2","37-3",0,"[0,2.22e-16)"
"15-3","37-3",0,"[0,2.22e-16)"
"15-4","37-3",0,"[0,2.22e-16)"
"15-5","37-3",0,"[0,2.22e-16)"
"15-6","37-3",0,"[0,2.22e-16)"
"15-7","37-3",0,"[0,2.22e-16)"
"15-8","37-3",0,"[0,2.22e-16)"
"15-9","37-3",0,"[0,2.22e-16)"
"15-10","37-3",0,"[0,2.22e-16)"
"15-11","37-3",0,"[0,2.22e-16)"
"22-1","37-3",0,"[0,2.22e-16)"
"22-2","37-3",0,"[0,2.22e-16)"
"22-3","37-3",0,"[0,2.22e-16)"
"22-4","37-3",0,"[0,2.22e-16)"
"22-5","37-3",0,"[0,2.22e-16)"
"22-6","37-3",0,"[0,2.22e-16)"
"22-7","37-3",0,"[0,2.22e-16)"
"22-8","37-3",0,"[0,2.22e-16)"
"22-9","37-3",0,"[0,2.22e-16)"
"22-10","37-3",0,"[0,2.22e-16)"
"22-11","37-3",0,"[0,2.22e-16)"
"28-1","37-3",0,"[0,2.22e-16)"
"28-2","37-3",0,"[0,2.22e-16)"
"28-3","37-3",0,"[0,2.22e-16)"
"28-4","37-3",0,"[0,2.22e-16)"
"28-5","37-3",0,"[0,2.22e-16)"
"28-6","37-3",0,"[0,2.22e-16)"
"28-7","37-3",0,"[0,2.22e-16)"
"28-8","37-3",0,"[0,2.22e-16)"
"28-9","37-3",0,"[0,2.22e-16)"
"28-10","37-3",0,"[0,2.22e-16)"
"28-11","37-3",0,"[0,2.22e-16)"
"8-1","37-4",0,"[0,2.22e-16)"
"8-2","37-4",0,"[0,2.22e-16)"
"8-3","37-4",0,"[0,2.22e-16)"
"8-4","37-4",0,"[0,2.22e-16)"
"8-5","37-4",0,"[0,2.22e-16)"
"8-6","37-4",0,"[0,2.22e-16)"
"8-7","37-4",0,"[0,2.22e-16)"
"8-8","37-4",0,"[0,2.22e-16)"
"8-9","37-4",0,"[0,2.22e-16)"
"8-10","37-4",0,"[0,2.22e-16)"
"8-11","37-4",0,"[0,2.22e-16)"
"15-1","37-4",0,"[0,2.22e-16)"
"15-2","37-4",0,"[0,2.22e-16)"
"15-3","37-4",0,"[0,2.22e-16)"
"15-4","37-4",0,"[0,2.22e-16)"
"15-5","37-4",0,"[0,2.22e-16)"
"15-6","37-4",0,"[0,2.22e-16)"
"15-7","37-4",0,"[0,2.22e-16)"
"15-8","37-4",0,"[0,2.22e-16)"
"15-9","37-4",0,"[0,2.22e-16)"
"15-10","37-4",0,"[0,2.22e-16)"
"15-11","37-4",0,"[0,2.22e-16)"
"22-1","37-4",0,"[0,2.22e-16)"
"22-2","37-4",0,"[0,2.22e-16)"
"22-3","37-4",0,"[0,2.22e-16)"
"22-4","37-4",0,"[0,2.22e-16)"
"22-5","37-4",0,"[0,2.22e-16)"
"22-6","37-4",0,"[0,2.22e-16)"
"22-7","37-4",0,"[0,2.22e-16)"
"22-8","37-4",0,"[0,2.22e-16)"
"22-9","37-4",0,"[0,2.22e-16)"
"22-10","37-4",0,"[0,2.22e-16)"
"22-11","37-4",0,"[0,2.22e-16)"
"28-1","37-4",0,"[0,2.22e-16)"
"28-2","37-4",0,"[0,2.22e-16)"
"28-3","37-4",0,"[0,2.22e-16)"
"28-4","37-4",0,"[0,2.22e-16)"
"28-5","37-4",0,"[0,2.22e-16)"
"28-6","37-4",0,"[0,2.22e-16)"
"28-7","37-4",0,"[0,2.22e-16)"
"28-8","37-4",0,"[0,2.22e-16)"
"28-9","37-4",0,"[0,2.22e-16)"
"28-10","37-4",0,"[0,2.22e-16)"
"28-11","37-4",0,"[0,2.22e-16)"
"8-1","37-5",0,"[0,2.22e-16)"
"8-2","37-5",0,"[0,2.22e-16)"
"8-3","37-5",0,"[0,2.22e-16)"
"8-4","37-5",0,"[0,2.22e-16)"
"8-5","37-5",0,"[0,2.22e-16)"
"8-6","37-5",0,"[0,2.22e-16)"
"8-7","37-5",0,"[0,2.22e-16)"
"8-8","37-5",0,"[0,2.22e-16)"
"8-9","37-5",0,"[0,2.22e-16)"
"8-10","37-5",0,"[0,2.22e-16)"
"8-11","37-5",0,"[0,2.22e-16)"
"15-1","37-5",0,"[0,2.22e-16)"
"15-2","37-5",0,"[0,2.22e-16)"
"15-3","37-5",0,"[0,2.22e-16)"
"15-4","37-5",0,"[0,2.22e-16)"
"15-5","37-5",0,"[0,2.22e-16)"
"15-6","37-5",0,"[0,2.22e-16)"
"15-7","37-5",0,"[0,2.22e-16)"
"15-8","37-5",0,"[0,2.22e-16)"
"15-9","37-5",0,"[0,2.22e-16)"
"15-10","37-5",0,"[0,2.22e-16)"
"15-11","37-5",0,"[0,2.22e-16)"
"22-1","37-5",0,"[0,2.22e-16)"
"22-2","37-5",0,"[0,2.22e-16)"
"22-3","37-5",0,"[0,2.22e-16)"
"22-4","37-5",0,"[0,2.22e-16)"
"22-5","37-5",0,"[0,2.22e-16)"
"22-6","37-5",0,"[0,2.22e-16)"
"22-7","37-5",0,"[0,2.22e-16)"
"22-8","37-5",0,"[0,2.22e-16)"
"22-9","37-5",0,"[0,2.22e-16)"
"22-10","37-5",0,"[0,2.22e-16)"
"22-11","37-5",0,"[0,2.22e-16)"
"28-1","37-5",0,"[0,2.22e-16)"
"28-2","37-5",0,"[0,2.22e-16)"
"28-3","37-5",0,"[0,2.22e-16)"
"28-4","37-5",0,"[0,2.22e-16)"
"28-5","37-5",0,"[0,2.22e-16)"
"28-6","37-5",0,"[0,2.22e-16)"
"28-7","37-5",0,"[0,2.22e-16)"
"28-8","37-5",0,"[0,2.22e-16)"
"28-9","37-5",0,"[0,2.22e-16)"
"28-10","37-5",0,"[0,2.22e-16)"
"28-11","37-5",0,"[0,2.22e-16)"
"8-1","37-6",0,"[0,2.22e-16)"
"8-2","37-6",0,"[0,2.22e-16)"
"8-3","37-6",0,"[0,2.22e-16)"
"8-4","37-6",0,"[0,2.22e-16)"
"8-5","37-6",0,"[0,2.22e-16)"
"8-6","37-6",0,"[0,2.22e-16)"
"8-7","37-6",0,"[0,2.22e-16)"
"8-8","37-6",0,"[0,2.22e-16)"
"8-9","37-6",0,"[0,2.22e-16)"
"8-10","37-6",0,"[0,2.22e-16)"
"8-11","37-6",0,"[0,2.22e-16)"
"15-1","37-6",0,"[0,2.22e-16)"
"15-2","37-6",0,"[0,2.22e-16)"
"15-3","37-6",0,"[0,2.22e-16)"
"15-4","37-6",0,"[0,2.22e-16)"
"15-5","37-6",0,"[0,2.22e-16)"
"15-6","37-6",0,"[0,2.22e-16)"
"15-7","37-6",0,"[0,2.22e-16)"
"15-8","37-6",0,"[0,2.22e-16)"
"15-9","37-6",0,"[0,2.22e-16)"
"15-10","37-6",0,"[0,2.22e-16)"
"15-11","37-6",0,"[0,2.22e-16)"
"22-1","37-6",0,"[0,2.22e-16)"
"22-2","37-6",0,"[0,2.22e-16)"
"22-3","37-6",0,"[0,2.22e-16)"
"22-4","37-6",0,"[0,2.22e-16)"
"22-5","37-6",0,"[0,2.22e-16)"
"22-6","37-6",0,"[0,2.22e-16)"
"22-7","37-6",0,"[0,2.22e-16)"
"22-8","37-6",0,"[0,2.22e-16)"
"22-9","37-6",0,"[0,2.22e-16)"
"22-10","37-6",0,"[0,2.22e-16)"
"22-11","37-6",0,"[0,2.22e-16)"
"28-1","37-6",0,"[0,2.22e-16)"
"28-2","37-6",0,"[0,2.22e-16)"
"28-3","37-6",0,"[0,2.22e-16)"
"28-4","37-6",0,"[0,2.22e-16)"
"28-5","37-6",0,"[0,2.22e-16)"
"28-6","37-6",0,"[0,2.22e-16)"
"28-7","37-6",0,"[0,2.22e-16)"
"28-8","37-6",0,"[0,2.22e-16)"
"28-9","37-6",0,"[0,2.22e-16)"
"28-10","37-6",0,"[0,2.22e-16)"
"28-11","37-6",0,"[0,2.22e-16)"
"8-1","37-7",0,"[0,2.22e-16)"
"8-2","37-7",0,"[0,2.22e-16)"
"8-3","37-7",0,"[0,2.22e-16)"
"8-4","37-7",0,"[0,2.22e-16)"
"8-5","37-7",0,"[0,2.22e-16)"
"8-6","37-7",0,"[0,2.22e-16)"
"8-7","37-7",0,"[0,2.22e-16)"
"8-8","37-7",0,"[0,2.22e-16)"
"8-9","37-7",0,"[0,2.22e-16)"
"8-10","37-7",0,"[0,2.22e-16)"
"8-11","37-7",0,"[0,2.22e-16)"
"15-1","37-7",0,"[0,2.22e-16)"
"15-2","37-7",0,"[0,2.22e-16)"
"15-3","37-7",0.032,"[2.22e-16,0.2)"
"15-4","37-7",0.2,"[0.2,0.4)"
"15-5","37-7",0.5,"[0.4,0.6)"
"15-6","37-7",0,"[0,2.22e-16)"
"15-7","37-7",0,"[0,2.22e-16)"
"15-8","37-7",0.1,"[2.22e-16,0.2)"
"15-9","37-7",0.02,"[2.22e-16,0.2)"
"15-10","37-7",0.02,"[2.22e-16,0.2)"
"15-11","37-7",0.5,"[0.4,0.6)"
"22-1","37-7",0.44,"[0.4,0.6)"
"22-2","37-7",0.03333333,"[2.22e-16,0.2)"
"22-3","37-7",0.58333333,"[0.4,0.6)"
"22-4","37-7",0.25,"[0.2,0.4)"
"22-5","37-7",0.2,"[0.2,0.4)"
"22-6","37-7",0.175,"[2.22e-16,0.2)"
"22-7","37-7",0.66666667,"[0.6,0.8)"
"22-8","37-7",0,"[0,2.22e-16)"
"22-9","37-7",0.00685714,"[2.22e-16,0.2)"
"22-10","37-7",0.16666667,"[2.22e-16,0.2)"
"22-11","37-7",0.7,"[0.6,0.8)"
"28-1","37-7",0.9,"[0.8,1)"
"28-2","37-7",0.36666667,"[0.2,0.4)"
"28-3","37-7",0.3,"[0.2,0.4)"
"28-4","37-7",0.125,"[2.22e-16,0.2)"
"28-5","37-7",0.175,"[2.22e-16,0.2)"
"28-6","37-7",0.0192,"[2.22e-16,0.2)"
"28-7","37-7",0.088,"[2.22e-16,0.2)"
"28-8","37-7",0.03333333,"[2.22e-16,0.2)"
"28-9","37-7",0.056,"[2.22e-16,0.2)"
"28-10","37-7",0.11428571,"[2.22e-16,0.2)"
"28-11","37-7",0.00872727,"[2.22e-16,0.2)"
"8-1","37-8",0,"[0,2.22e-16)"
"8-2","37-8",0,"[0,2.22e-16)"
"8-3","37-8",0,"[0,2.22e-16)"
"8-4","37-8",0,"[0,2.22e-16)"
"8-5","37-8",0,"[0,2.22e-16)"
"8-6","37-8",0,"[0,2.22e-16)"
"8-7","37-8",0,"[0,2.22e-16)"
"8-8","37-8",0,"[0,2.22e-16)"
"8-9","37-8",0,"[0,2.22e-16)"
"8-10","37-8",0,"[0,2.22e-16)"
"8-11","37-8",0,"[0,2.22e-16)"
"15-1","37-8",0,"[0,2.22e-16)"
"15-2","37-8",0,"[0,2.22e-16)"
"15-3","37-8",0,"[0,2.22e-16)"
"15-4","37-8",0,"[0,2.22e-16)"
"15-5","37-8",0,"[0,2.22e-16)"
"15-6","37-8",0,"[0,2.22e-16)"
"15-7","37-8",0,"[0,2.22e-16)"
"15-8","37-8",0,"[0,2.22e-16)"
"15-9","37-8",0,"[0,2.22e-16)"
"15-10","37-8",0,"[0,2.22e-16)"
"15-11","37-8",0,"[0,2.22e-16)"
"22-1","37-8",0,"[0,2.22e-16)"
"22-2","37-8",0,"[0,2.22e-16)"
"22-3","37-8",0,"[0,2.22e-16)"
"22-4","37-8",0,"[0,2.22e-16)"
"22-5","37-8",0,"[0,2.22e-16)"
"22-6","37-8",0,"[0,2.22e-16)"
"22-7","37-8",0,"[0,2.22e-16)"
"22-8","37-8",0,"[0,2.22e-16)"
"22-9","37-8",0,"[0,2.22e-16)"
"22-10","37-8",0,"[0,2.22e-16)"
"22-11","37-8",0,"[0,2.22e-16)"
"28-1","37-8",0,"[0,2.22e-16)"
"28-2","37-8",0,"[0,2.22e-16)"
"28-3","37-8",0,"[0,2.22e-16)"
"28-4","37-8",0,"[0,2.22e-16)"
"28-5","37-8",0,"[0,2.22e-16)"
"28-6","37-8",0,"[0,2.22e-16)"
"28-7","37-8",0,"[0,2.22e-16)"
"28-8","37-8",0,"[0,2.22e-16)"
"28-9","37-8",0,"[0,2.22e-16)"
"28-10","37-8",0,"[0,2.22e-16)"
"28-11","37-8",0,"[0,2.22e-16)"
"8-1","37-9",0,"[0,2.22e-16)"
"8-2","37-9",0,"[0,2.22e-16)"
"8-3","37-9",0,"[0,2.22e-16)"
"8-4","37-9",0,"[0,2.22e-16)"
"8-5","37-9",0,"[0,2.22e-16)"
"8-6","37-9",0,"[0,2.22e-16)"
"8-7","37-9",0,"[0,2.22e-16)"
"8-8","37-9",0,"[0,2.22e-16)"
"8-9","37-9",0,"[0,2.22e-16)"
"8-10","37-9",0,"[0,2.22e-16)"
"8-11","37-9",0,"[0,2.22e-16)"
"15-1","37-9",0,"[0,2.22e-16)"
"15-2","37-9",0,"[0,2.22e-16)"
"15-3","37-9",0.024,"[2.22e-16,0.2)"
"15-4","37-9",0.1,"[2.22e-16,0.2)"
"15-5","37-9",0,"[0,2.22e-16)"
"15-6","37-9",0,"[0,2.22e-16)"
"15-7","37-9",0,"[0,2.22e-16)"
"15-8","37-9",0,"[0,2.22e-16)"
"15-9","37-9",0.008,"[2.22e-16,0.2)"
"15-10","37-9",0,"[0,2.22e-16)"
"15-11","37-9",0,"[0,2.22e-16)"
"22-1","37-9",0,"[0,2.22e-16)"
"22-2","37-9",0,"[0,2.22e-16)"
"22-3","37-9",0,"[0,2.22e-16)"
"22-4","37-9",0,"[0,2.22e-16)"
"22-5","37-9",0,"[0,2.22e-16)"
"22-6","37-9",0,"[0,2.22e-16)"
"22-7","37-9",0,"[0,2.22e-16)"
"22-8","37-9",0,"[0,2.22e-16)"
"22-9","37-9",0,"[0,2.22e-16)"
"22-10","37-9",0,"[0,2.22e-16)"
"22-11","37-9",0,"[0,2.22e-16)"
"28-1","37-9",0.5,"[0.4,0.6)"
"28-2","37-9",1.33333333,"[1,Inf)"
"28-3","37-9",0.16666667,"[2.22e-16,0.2)"
"28-4","37-9",0.03,"[2.22e-16,0.2)"
"28-5","37-9",0.15,"[2.22e-16,0.2)"
"28-6","37-9",0.0096,"[2.22e-16,0.2)"
"28-7","37-9",0.0208,"[2.22e-16,0.2)"
"28-8","37-9",0.01866667,"[2.22e-16,0.2)"
"28-9","37-9",0.00352,"[2.22e-16,0.2)"
"28-10","37-9",0.09142857,"[2.22e-16,0.2)"
"28-11","37-9",0.00363636,"[2.22e-16,0.2)"
"8-1","37-10",0,"[0,2.22e-16)"
"8-2","37-10",0,"[0,2.22e-16)"
"8-3","37-10",0,"[0,2.22e-16)"
"8-4","37-10",0,"[0,2.22e-16)"
"8-5","37-10",0,"[0,2.22e-16)"
"8-6","37-10",0,"[0,2.22e-16)"
"8-7","37-10",0,"[0,2.22e-16)"
"8-8","37-10",0,"[0,2.22e-16)"
"8-9","37-10",0,"[0,2.22e-16)"
"8-10","37-10",0,"[0,2.22e-16)"
"8-11","37-10",0,"[0,2.22e-16)"
"15-1","37-10",0,"[0,2.22e-16)"
"15-2","37-10",0,"[0,2.22e-16)"
"15-3","37-10",0,"[0,2.22e-16)"
"15-4","37-10",0,"[0,2.22e-16)"
"15-5","37-10",0,"[0,2.22e-16)"
"15-6","37-10",0,"[0,2.22e-16)"
"15-7","37-10",0,"[0,2.22e-16)"
"15-8","37-10",0,"[0,2.22e-16)"
"15-9","37-10",0,"[0,2.22e-16)"
"15-10","37-10",0,"[0,2.22e-16)"
"15-11","37-10",0,"[0,2.22e-16)"
"22-1","37-10",0,"[0,2.22e-16)"
"22-2","37-10",0,"[0,2.22e-16)"
"22-3","37-10",0,"[0,2.22e-16)"
"22-4","37-10",0,"[0,2.22e-16)"
"22-5","37-10",0,"[0,2.22e-16)"
"22-6","37-10",0,"[0,2.22e-16)"
"22-7","37-10",0,"[0,2.22e-16)"
"22-8","37-10",0,"[0,2.22e-16)"
"22-9","37-10",0,"[0,2.22e-16)"
"22-10","37-10",0,"[0,2.22e-16)"
"22-11","37-10",0,"[0,2.22e-16)"
"28-1","37-10",0,"[0,2.22e-16)"
"28-2","37-10",0,"[0,2.22e-16)"
"28-3","37-10",0,"[0,2.22e-16)"
"28-4","37-10",0,"[0,2.22e-16)"
"28-5","37-10",0,"[0,2.22e-16)"
"28-6","37-10",0,"[0,2.22e-16)"
"28-7","37-10",0,"[0,2.22e-16)"
"28-8","37-10",0,"[0,2.22e-16)"
"28-9","37-10",0,"[0,2.22e-16)"
"28-10","37-10",0,"[0,2.22e-16)"
"28-11","37-10",0,"[0,2.22e-16)"
"8-1","28-1",0,"[0,2.22e-16)"
"8-2","28-1",0,"[0,2.22e-16)"
"8-3","28-1",0,"[0,2.22e-16)"
"8-4","28-1",0,"[0,2.22e-16)"
"8-5","28-1",0,"[0,2.22e-16)"
"8-6","28-1",0,"[0,2.22e-16)"
"8-7","28-1",0,"[0,2.22e-16)"
"8-8","28-1",0,"[0,2.22e-16)"
"8-9","28-1",0,"[0,2.22e-16)"
"8-10","28-1",0,"[0,2.22e-16)"
"8-11","28-1",0,"[0,2.22e-16)"
"15-1","28-1",0,"[0,2.22e-16)"
"15-2","28-1",0,"[0,2.22e-16)"
"15-3","28-1",0.008,"[2.22e-16,0.2)"
"15-4","28-1",0.275,"[0.2,0.4)"
"15-5","28-1",0,"[0,2.22e-16)"
"15-6","28-1",0,"[0,2.22e-16)"
"15-7","28-1",0,"[0,2.22e-16)"
"15-8","28-1",0,"[0,2.22e-16)"
"15-9","28-1",0.012,"[2.22e-16,0.2)"
"15-10","28-1",0,"[0,2.22e-16)"
"15-11","28-1",0,"[0,2.22e-16)"
"22-1","28-1",0.24,"[0.2,0.4)"
"22-2","28-1",0.1,"[2.22e-16,0.2)"
"22-3","28-1",0.13333333,"[2.22e-16,0.2)"
"22-4","28-1",0.06,"[2.22e-16,0.2)"
"22-5","28-1",0,"[0,2.22e-16)"
"22-6","28-1",0.1,"[2.22e-16,0.2)"
"22-7","28-1",1.16666667,"[1,Inf)"
"22-8","28-1",0,"[0,2.22e-16)"
"22-9","28-1",0.00342857,"[2.22e-16,0.2)"
"22-10","28-1",0.1,"[2.22e-16,0.2)"
"22-11","28-1",0.4,"[0.4,0.6)"
"28-1","28-1",0.5,"[0.4,0.6)"
